fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Feb,24,ODISHA,2430,NABARANGAPUR,6250852,277.112247084054,52,191,7745.277802515,14823,0,29200,4727282,724036,42098,2343695,145857,229.77868,21074.933858715,90317,123687,168865,269892,7840,218894,338340,44023,13099.8773762,2152561,66,34.75,27.29,99.59,NA
2024-2025,Feb,24,ODISHA,2431,MALKANGIRI,3373200,253.760133774065,52,354,4828.078416005,13205,0,19101,3351397,794725,40363,2014159,94532,219.18843,13551.776356505,63261,86687,99996,162069,6680,119904,188602,32306,8504.5095105,1459888,65,38.19,35.13,99.67,NA
2024-2025,March,24,ODISHA,2406,CUTTACK,2281889,251.798745127174,29,58,1604.947876793,9233,0,12696,681073,93838,47516,37952,10762,149.74233,3469.623474193,23286,33735,123017,242751,105,231897,412800,21929,1714.9332674,314003,64,33.62,15,99.81,NA
2024-2025,March,24,ODISHA,2411,KORAPUT,9294740,277.177382072598,49,570,14986.490422338,26135,0,41868,6376105,870513,46630,3743550,191894,367.27442,33026.885759538,128221,168162,223504,343091,10624,268777,401100,68003,17673.1209172,3000568,58,51.12,20.41,99.4,NA
2024-2025,March,24,ODISHA,2417,BHADRAK,2583484,257.338444507859,31,111,3021.955066421,24619,0,25780,1279055,175855,30115,7545,1460,230.37642,6543.831727821,40802,54252,139196,209686,141,283872,395058,50399,3291.5002414,602995,78,27.27,7.23,100.25,NA
2024-2025,March,24,ODISHA,2418,KENDRAPARA,2079487,254.605026283855,28,117,438.828177004,9122,0,20037,752363,131124,43969,2235,1284,149.62049,2504.002680904,26114,35575,130025,229331,54,226580,364896,29159,1915.5540139,325606,51,38.99,2.87,99.79,NA
2024-2025,March,24,ODISHA,2427,SONEPUR,1940872,256.858316761055,42,54,2441.083182229,9851,0,10319,1563052,258649,27853,117627,10651,190.98679,6646.899029529,36990,51552,81428,140046,685,121895,203523,20170,4014.8290573,671686,78,33.11,14.21,100.43,NA
2024-2025,March,24,ODISHA,2402,SUNDARGARH,9514827,251.527846598026,54,519,4973.331716687,29023,0,22885,8191420,684086,30982,5663245,246338,526.72206,26103.756108487,151683,199377,222939,355764,13195,276235,430467,51908,20603.7023318,3987157,68,34.5,42.62,99.85,NA
2024-2025,March,24,ODISHA,2406,CUTTACK,2281889,250.835861219542,29,58,1603.090836793,9226,0,12671,671449,92527,47496,36943,10760,149.74233,3437.068048593,23039,33341,122986,242630,104,230478,410726,21897,1684.2348818,310193,64,33.97,14.96,99.81,NA
2024-2025,March,24,ODISHA,2409,BOLANGIR,9075648,348.659799736237,47,493,8823.43500950498,32097,0,38825,6458832,1023448,69058,1642875,102018,451.94373,31794.729456005,135458,224596,236403,445544,17127,311304,564950,70922,22519.3507165,3228476,72,33.53,52.08,100.27,NA
2024-2025,March,24,ODISHA,2411,KORAPUT,9294740,276.387432441295,49,569,14986.490422338,26076,0,41597,6312658,860906,46606,3704142,191753,367.27442,32801.158207338,127495,167126,223305,342826,10363,268407,400535,67673,17447.393365,2968016,58,51.13,20.4,99.39,NA
2024-2025,March,24,ODISHA,2412,GANJAM,20536855,227.386733966331,37,288,12136.603517972,32409,0,31738,5405079,822256,103117,310648,28149,744.73702,25171.773144372,142486,165079,407331,590036,2479,454105,650876,64147,12290.4326064,3170969,43,41.47,24.53,100.48,NA
2024-2025,March,24,ODISHA,2416,DEOGARH,1360930,259.022565422707,45,170,1977.690448581,4029,0,4955,1304249,158758,13779,431093,30876,105.97682,5461.966487881,28616,43954,51040,93824,1226,69292,123215,8984,3378.2992193,665650,37,50.35,20.72,99.88,NA
2024-2025,March,24,ODISHA,2423,KHORDHA,1497992,254.158397960684,33,74,1441.809935134,5581,0,8066,666694,75626,16546,49109,8857,103.46804,3239.736764834,19984,27855,68497,126166,414,119848,201708,13647,1694.4587897,309404,54,46.84,15.08,99.95,NA
2024-2025,March,24,ODISHA,2401,SAMBALPUR,2570511,253.654584766927,45,119,1054.614612376,13037,0,10779,2313243,328373,25083,1194671,80797,245.6907,7167.952238676,50355,73224,93042,164402,2324,133079,231352,23816,5867.6469263,1063971,66,30.79,41.11,99.81,NA
2024-2025,March,24,ODISHA,2415,JHARSUGUDA,1514088,254.243178911688,47,51,875.279798182001,6123,0,4176,1114589,234713,19891,510343,42251,126.28912,3835.33542358199,23562,34772,50842,97024,1658,70474,125783,10299,2833.76650539999,530535,60,39.41,24.99,99.88,NA
2024-2025,March,24,ODISHA,2422,NAYAGARH,2658267,254.805027876446,39,96,3845.94121218701,12052,0,15562,1713095,156387,24935,165387,15489,248.83374,8459.82714448701,43918,67750,114865,232727,417,171265,336255,27614,4365.0521923,787515,70,41.89,16.62,99.81,NA
2024-2025,March,24,ODISHA,2424,GAJAPATI,3110249,299.918544297317,49,170,3599.757139021,11490,0,20013,3008444,168222,11368,2193978,115314,228.66188,12851.300469821,60648,91889,93968,175633,6074,118376,212217,31503,9022.88145079998,1601192,62,43.29,28.18,100.18,NA
2024-2025,March,24,ODISHA,2404,MAYURBHANJ,12073389,255.575165054491,47,386,8797.562207533,111136,0,69376,10020206,906322,58797,5108821,314938,647.86584,35054.586070833,209997,278794,361781,597362,7304,461438,734330,180512,25609.1580233,5199644,85,38.94,10.8,100.48,NA
2024-2025,March,24,ODISHA,2409,BOLANGIR,9075648,353.285593605048,49,506,9016.19904194998,32422,0,39195,6968497,1116595,69609,1797097,102722,451.94373,34086.8387637499,140719,234111,238213,448926,19791,316283,573104,71617,24618.6959917999,3543195,72,32.91,52.82,100.29,NA
2024-2025,March,24,ODISHA,2429,RAYAGADA,5430397,273.285460909842,50,400,5129.747504455,18483,0,27033,4076947,741585,35272,2593252,126663,240.49943,16511.950334455,80098,111408,128085,206036,7981,166279,257360,45516,11141.7034,2045425,53,59.75,9.7,99.59,NA
2024-2025,Dec,24,ODISHA,2402,SUNDARGARH,8487722,252.815844067475,45,420,4109.109034682,25482,0,22227,5706558,481991,30581,3915850,240783,336.66182,18872.853629582,126673,163666,218028,348034,5624,241816,384170,47709,14427.0827749,2770123,68,36.26,37.3,99.81,NA
2024-2025,Dec,24,ODISHA,2404,MAYURBHANJ,10571959,256.77754561657,41,332,7201.467787344,97891,0,73676,7517937,691371,58024,3774663,309204,376.09361,26881.935506944,179154,233984,354656,585769,3528,436508,696249,171567,19304.3741096,3906773,86,36.17,8.04,99.73,NA
2024-2025,Dec,24,ODISHA,2413,PURI,1636892,266.587918777452,26,48,923.90220201,16761,0,17028,700766,127956,38838,3489,1022,175.63772,2967.69741691,26939,40879,119646,245964,132,196451,372778,33789,1868.1574949,316243,85,32.94,9.86,99.64,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,281.722369215444,40,123,2963.149227694,9270,0,18242,2007825,117016,11174,1380953,111895,172.89211,8792.533497394,49034,71893,91492,170188,2457,111443,199103,27512,5656.4921597,1006920,59,49.48,23.25,99.59,NA
2024-2025,Dec,24,ODISHA,2427,SONEPUR,1566354,258.055953203992,37,38,2068.976188094,8749,0,10081,1175955,205186,27365,87984,10373,122.56778,5226.165852594,31103,42731,79616,136732,483,117414,196076,18830,3034.6218845,514122,77,34.92,14.89,99.52,NA
2024-2025,March,24,ODISHA,2401,SAMBALPUR,2570511,253.636333670859,45,116,1042.206162376,13020,0,10748,2258597,321215,25098,1166128,80792,245.6907,7016.519485576,49846,72386,93060,164402,2188,132921,231277,23768,5728.6226232,1039283,66,30.88,41.1,99.79,NA
2024-2025,March,24,ODISHA,2407,DHENKANAL,4866625,256.202881506839,44,140,4157.676654818,11966,0,15679,2722520,428160,52400,403471,38421,250.39137,11383.242714418,61815,85990,159979,278497,1710,213685,361893,27645,6975.1746896,1312720,57,44.9,20.53,99.55,NA
2024-2025,March,24,ODISHA,2408,KANDHAMAL,8339268,280.709383549933,65,3544,8928.372227245,23610,0,31188,8485667,1954125,56288,5035819,140665,359.33728,33107.7730330451,129478,199755,151769,254419,28661,168376,282670,54798,23820.0635258001,4537113,52,31.07,48.94,99.77,NA
2024-2025,March,24,ODISHA,2409,BOLANGIR,9075648,352.431786416759,49,504,8965.09664084998,32394,0,39093,6855360,1096217,69512,1762672,102589,451.94373,33577.5080841499,139766,232370,237861,448283,19179,315001,571247,71487,24160.4677133,3471409,72,32.94,52.76,100.29,NA
2024-2025,March,24,ODISHA,2411,KORAPUT,9294740,277.995201152642,50,610,15002.460342338,26338,0,42878,6797947,928615,46865,3998027,192970,367.27442,34267.701199238,133362,175306,224961,345089,11882,270187,403268,69216,18897.9664369,3212364,58,51.25,20.55,99.45,NA
2024-2025,March,24,ODISHA,2418,KENDRAPARA,2079487,252.404730235452,29,133,439.643567004,9500,0,20241,874318,155909,44283,2668,1289,149.62049,2796.084046304,30085,40949,131091,231260,61,230043,369843,29741,2206.8199893,376887,51,37.76,3.4,99.84,NA
2024-2025,March,24,ODISHA,2421,ANGUL,4034431,253.130147380717,43,154,4108.265652403,13040,2,18257,2273771,253313,32784,305210,33068,173.06297,10036.928505803,52841,73123,141169,246220,1641,199328,329587,31297,5755.5998834,1167484,58,51.8,7.35,99.83,NA
2024-2025,March,24,ODISHA,2424,GAJAPATI,3110249,299.243997101488,48,169,3577.730169021,11403,0,19924,2927709,163737,11345,2132303,115100,228.66188,12567.385484121,60024,90737,93767,175229,5741,117818,211316,31327,8760.9934351,1554691,62,43.58,28.07,100.17,NA
2024-2025,March,24,ODISHA,2427,SONEPUR,1940872,255.974489837375,43,55,2444.138212229,10089,0,10288,1683571,278344,28016,125893,10691,190.98679,6944.637280529,38569,54019,81850,140771,756,122792,204849,20377,4309.5122783,718837,78,34.04,14.57,100.38,NA
2024-2025,March,24,ODISHA,2402,SUNDARGARH,9514827,249.730891728212,55,552,5067.670461687,29589,0,23269,9125572,754463,31221,6331649,249402,526.72206,28383.764852587,163020,215364,226243,360164,17031,293977,451753,52858,22789.3723309,4461624,68,34.27,44.06,99.98,NA
2024-2025,March,24,ODISHA,2404,MAYURBHANJ,12073389,255.419008322204,47,384,8786.410287533,110956,0,69319,9863133,893506,58754,5024337,314499,647.86584,34626.592625633,208308,276280,361290,596638,7009,460478,732918,180275,25192.3164981,5117095,86,38.91,10.5,100.45,NA
2024-2025,March,24,ODISHA,2409,BOLANGIR,9075648,352.630081128927,49,506,8968.03310084998,32398,0,39105,6877818,1100450,69522,1768720,102620,451.94373,33673.2320241499,140042,232848,237950,448418,19268,315325,571622,71503,24253.2551933,3485712,72,32.93,52.75,100.29,NA
2024-2025,March,24,ODISHA,2414,BARGARH,4052874,339.566784599133,42,199,1213.231219952,17507,0,15979,2567232,445744,46095,712962,60482,381.78453,10312.482905552,60629,95060,137284,261315,5079,209858,370108,33486,8717.46715560001,1171671,69,34.7,47.45,99.91,NA
2024-2025,March,24,ODISHA,2426,BOUDH,1868043,254.446683986413,43,43,2286.0674112271,11009,0,12124,1769079,304663,27819,174047,14235,125.48921,6912.9194738271,40396,63592,74523,135709,905,98347,172364,23133,4501.3628526,810853,80,37.62,17.06,99.63,NA
2024-2025,March,24,ODISHA,2428,NUAPADA,3902526,467.787680843357,60,869,3331.982799949,31292,0,29491,4143821,705371,28555,2087775,79583,211.65731,22927.924264149,68667,134381,91372,206383,20162,107370,233490,60783,19384.2841542,2622570,76,46.37,23.47,99.77,NA
2024-2025,March,24,ODISHA,2429,RAYAGADA,5430397,272.858233610963,50,393,5119.586504455,18454,0,26859,4008930,727167,35220,2547520,126445,240.49943,16298.781519155,79337,110266,127860,205730,7651,165983,256943,45313,10938.6955847,2007385,53,59.83,9.69,99.58,NA
2024-2025,March,24,ODISHA,2431,MALKANGIRI,3557059,253.965986265032,54,360,4849.946736005,13659,0,19016,3559819,851269,40744,2132314,95048,219.18843,14109.864598605,65203,89553,100791,163161,7504,120926,189866,32675,9040.72943259998,1552179,64,36.68,35.56,99.73,NA
2024-2025,March,24,ODISHA,2401,SAMBALPUR,2570511,253.476709258209,45,116,1041.116492376,13010,0,10756,2251699,319645,25098,1163344,80790,245.6907,6994.339719976,49813,72330,93057,164398,2173,132694,231039,23766,5707.5325276,1036037,66,30.87,41.04,99.79,NA
2024-2025,March,24,ODISHA,2407,DHENKANAL,4866625,256.73058352953,43,140,4157.504574818,11966,0,15662,2703068,425277,52391,401151,38402,250.39137,11347.498194418,61464,85403,159882,278358,1684,213536,361696,27628,6939.6022496,1303411,57,44.82,20.61,99.55,NA
2024-2025,March,24,ODISHA,2411,KORAPUT,9294740,278.041850478055,50,608,15002.460342338,26327,0,42850,6762820,923785,46858,3977784,192925,367.27442,34173.204634838,133068,174874,224902,345011,11811,270061,403065,69177,18803.4698725,3195064,58,51.4,20.43,99.44,NA
2024-2025,March,24,ODISHA,2414,BARGARH,4052874,337.584135121404,42,198,1210.894109952,17495,0,15981,2550832,443585,46091,706914,60471,381.78453,10203.882785552,60471,94752,137264,261269,5027,209028,369114,33476,8611.20414560001,1162959,69,34.78,47.49,99.91,NA
2024-2025,March,24,ODISHA,2416,DEOGARH,1360930,257.858227033269,47,177,2004.794200581,4085,0,5126,1460112,180186,13937,480389,31261,105.97682,5875.789936481,30735,47438,51615,94852,1528,69982,124410,9211,3765.0189159,747557,38,50.45,20.3,99.91,NA
2024-2025,Nov,24,ODISHA,2401,SAMBALPUR,2058647,253.629961700488,34,66,799.307170257,11638,0,12250,1160067,167205,24343,583661,78696,160.04359,3901.628248057,33164,46666,90255,159791,441,128840,225625,23888,2942.2774878,547779,69,34.08,33.29,99.57,NA
2024-2025,Nov,24,ODISHA,2407,DHENKANAL,3829001,260.058018699784,37,105,3739.45749068,9139,0,18101,1546328,263850,51489,261437,37728,167.17219,7927.97964008,41543,55627,156198,271767,600,199342,340525,27240,4021.3499594,738945,60,42.22,20.56,99.27,NA
2024-2025,Nov,24,ODISHA,2416,DEOGARH,972915,264.098309832176,33,133,1489.992774559,3362,0,4549,621246,72756,13297,212297,29708,71.96302,3202.655980459,18801,28128,49454,90536,191,65103,115623,7911,1640.7001859,315657,36,53.37,19.5,99.78,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,258.083337964733,29,66,1688.956929707,9557,0,16527,816168,154051,46367,47295,12500,92.15661,3887.507157507,27847,36680,136175,216907,75,200817,301882,26084,2106.3936178,338679,55,69.27,5.97,99.53,NA
2024-2025,Nov,24,ODISHA,2401,SAMBALPUR,2058647,252.827528062631,34,66,799.307170257,11496,0,12378,1146008,165324,24336,575738,78671,160.04359,3856.774458057,32991,46422,90221,159752,416,128820,225596,23874,2897.4236978,541336,69,34.3,32.92,99.56,NA
2024-2025,Nov,24,ODISHA,2406,CUTTACK,1859929,252.361501363026,28,52,1501.980939746,5908,0,17227,442398,60489,46674,27343,10619,104.24425,2722.667424546,15727,22422,121452,237847,56,202131,368058,23135,1116.4422348,206362,67,40.29,16.32,99.71,NA
2024-2025,Nov,24,ODISHA,2417,BHADRAK,2072365,259.786946460262,28,83,2481.649950787,10145,0,36359,890871,129278,29323,5733,1439,162.15567,4958.172188587,31643,41528,136072,203481,44,200901,289850,46504,2314.3665678,416284,77,27.91,6.58,99.54,NA
2024-2025,Nov,24,ODISHA,2418,KENDRAPARA,1703216,258.53560230505,27,64,414.396272942,6788,0,23800,447539,76524,43095,1309,1295,111.23074,1682.674662142,16464,22349,127966,223778,26,195764,322383,30588,1157.0476492,196924,53,42.93,3.19,99.69,NA
2024-2025,Nov,24,ODISHA,2419,JAGATSINGHAPUR,1251380,260.270962544981,23,63,1368.635928789,3686,0,10130,357095,43000,24669,913,574,84.03583,2382.086352489,15302,22032,81286,138807,60,123340,198897,13816,929.4145937,149533,54,50.74,5.39,99.71,NA
2024-2025,Nov,24,ODISHA,2429,RAYAGADA,4335438,265.247716139736,40,339,4613.627030815,11745,0,36893,2589274,457324,34281,1620478,124030,153.25899,11634.876170415,64007,87710,124492,201474,2339,154728,242022,48638,6867.99014959999,1261908,59,55.67,11.32,99.33,NA
2024-2025,Nov,24,ODISHA,2403,KENDUJHAR,6912551,252.748754852009,35,304,2569.575294407,25053,0,55217,3754373,386943,48185,1894917,209675,215.78974,12274.496044407,105761,151172,250745,450087,1742,314971,538437,80270,9489.13101000001,1946517,86,30.42,16.02,99.75,NA
2024-2025,Nov,24,ODISHA,2411,KORAPUT,7272987,266.190440141826,43,483,12006.971298416,20088,0,51339,4755967,639101,45965,2716827,189381,213.69703,24880.597818716,109056,141798,220011,338334,5112,257049,385459,71427,12659.9294903,2185442,63,51.31,20.29,99.16,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,302.435941098467,34,137,879.914606649,15713,0,18569,1539892,238974,44858,370111,59142,241.8194,5778.920868749,44600,67542,133066,254052,1474,188806,338239,34282,4657.1868621,637971,73,33.76,42.89,99.86,NA
2024-2025,Nov,24,ODISHA,2423,KHORDHA,1163818,254.807375216577,27,54,1336.619725472,4116,0,8947,372846,34522,16233,25158,8610,67.33305,2353.991881672,13665,18823,66927,123417,145,109261,189858,13063,950.0391062,165025,54,48.99,17.75,99.87,NA
2024-2025,Nov,24,ODISHA,2401,SAMBALPUR,2058647,254.456362259451,35,67,799.822170257,11705,0,12254,1199654,172534,24331,605630,78717,160.04359,4012.461688357,33640,47406,90308,159819,470,128861,225610,23959,3052.5959281,564957,69,33.92,34.02,99.58,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.571858654677,39,310,7138.635827344,59895,0,110069,6778774,628035,57881,3381929,308077,340.86219,24871.924463144,170118,221264,353249,583530,2633,433784,692223,169964,17392.4264458,3533630,86,34.2,7.27,99.66,NA
2024-2025,Nov,24,ODISHA,2417,BHADRAK,2072365,260.215964683196,28,83,2482.329350787,11267,0,35168,905971,132020,29339,5841,1439,162.15567,5001.966198187,31948,41953,136084,203520,44,201133,290180,46435,2357.4811774,423019,78,27.73,6.43,99.55,NA
2024-2025,Nov,24,ODISHA,2418,KENDRAPARA,1703216,258.362219448215,27,64,414.396272942,6888,0,23719,458222,78334,43089,1365,1262,111.23074,1709.499542142,16666,22647,127993,223788,27,195790,322375,30607,1183.8725292,201233,53,43.78,3.1,99.69,NA
2024-2025,Nov,24,ODISHA,2421,ANGUL,3040548,254.082603785484,35,113,3831.512967511,9966,2,22935,1258967,149684,33123,198725,34457,127.36462,7157.693721911,35656,48129,138134,245193,363,171634,294177,32901,3198.8161344,651129,63,56.94,8.36,99.79,NA
2024-2025,Nov,24,ODISHA,2427,SONEPUR,1392160,258.972010795629,36,31,2065.648498094,7805,0,12855,1047461,184147,27258,78620,10303,112.82646,4891.105772094,28889,39506,79149,135894,421,116757,194952,20660,2712.630814,462336,80,34.83,15.35,99.47,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.56182707444,39,310,7139.707627344,59965,0,110013,6787036,628458,57878,3386420,308091,340.86219,24893.513383144,170265,221489,353262,583552,2638,433860,692314,169978,17412.9435658,3537980,86,34.23,7.28,99.66,NA
2024-2025,Nov,24,ODISHA,2416,DEOGARH,972915,265.060688625925,33,135,1494.394774559,3406,0,4570,651631,77014,13304,223198,29718,71.96302,3293.575410459,19457,29126,49491,90581,208,65119,115618,7976,1727.2176159,331302,36,52.99,20.07,99.79,NA
2024-2025,Nov,24,ODISHA,2417,BHADRAK,2072365,259.930870523877,28,85,2482.329350787,11277,0,35161,908878,132665,29345,5912,1439,162.15567,5006.939518187,32040,42082,136103,203546,44,201269,290361,46438,2362.4544974,424434,78,27.68,6.42,99.55,NA
2024-2025,March,24,ODISHA,2408,KANDHAMAL,8339268,279.597463409448,65,3564,8949.086997245,23670,0,31300,8596618,1975911,56448,5105903,140854,359.33728,33344.350144245,130579,201929,152091,254910,29459,168623,283094,54970,24035.925867,4597196,52,31.12,48.57,99.77,NA
2024-2025,March,24,ODISHA,2409,BOLANGIR,9075648,353.726906281071,49,506,9021.50436194998,32422,0,39251,6984875,1119497,69609,1803000,102730,451.94373,34180.8303370499,140854,234386,238268,449000,19901,316410,573327,71673,24707.3822451,3556023,72,32.88,52.84,100.29,NA
2024-2025,March,24,ODISHA,2411,KORAPUT,9294740,278.981954552123,51,618,15006.657952338,26409,0,43027,6939774,950332,46932,4085043,193182,367.27442,34734.649519038,134567,177042,225306,345587,12424,271061,404420,69436,19360.7171467,3286519,58,51.25,20.57,99.5,NA
2024-2025,March,24,ODISHA,2428,NUAPADA,3902526,470.143369563453,60,892,3337.625239949,31350,0,29699,4189332,716995,28571,2119987,79612,211.65731,23245.149176949,68969,135156,91456,206560,20633,107705,234101,61049,19695.866627,2666681,76,46.27,23.33,99.77,NA
2024-2025,March,24,ODISHA,2429,RAYAGADA,5430397,273.93959054542,50,399,5129.747504455,18483,0,27044,4084116,742998,35283,2597668,126625,240.49943,16558.257582255,80116,111408,128104,206042,8015,166292,257379,45527,11188.0106478,2048989,53,59.66,9.7,99.59,NA
2024-2025,March,24,ODISHA,2430,NABARANGAPUR,6462158,294.57063684657,51,203,7787.031212515,16610,0,29697,4891131,799093,42527,2586260,147245,229.77868,22424.645628215,94789,130319,170776,272491,9288,221516,341949,46307,14407.8357357,2364706,67,34.39,27.14,99.74,NA
2024-2025,Oct,24,ODISHA,2410,KALAHANDI,5034732,309.51954908427,42,304,9930.04840041101,21477,0,36960,4224714,807410,67180,1434902,123964,190.52928,23196.893403311,98960,155954,214515,388733,7929,271578,471964,58437,13076.3157229,2023321,53,27.5,47.7,99.64,NA
2024-2025,Oct,24,ODISHA,2414,BARGARH,2573983,300.580203775803,32,124,865.593246649,14241,0,19632,1306583,197050,44675,308287,59046,241.8194,5034.742490549,40460,60694,132431,253280,1099,188153,337575,33873,3927.3298439,548374,73,36.44,38.48,99.81,NA
2024-2025,Oct,24,ODISHA,2416,DEOGARH,850092,265.562888724955,31,128,1487.814654559,2911,0,4886,551714,64048,13273,187979,29652,71.96302,3024.925310459,17583,26229,49348,90392,144,65008,115526,7797,1465.1476359,280150,36,54.23,18.79,99.75,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,260.171803562552,27,82,2480.398150787,8355,0,38163,857026,124389,29255,5621,1437,162.15567,4872.293821987,30938,40591,136107,203587,42,200831,289865,46518,2229.7400012,400396,77,27.91,6.72,99.54,NA
2024-2025,Oct,24,ODISHA,2429,RAYAGADA,3706833,263.862543507032,38,317,4613.627030815,10925,0,37243,2347609,416468,34206,1470909,123730,153.25899,10961.346839815,61311,83853,124156,201006,1840,153858,240926,48168,6194.460819,1143627,59,53.29,12,99.29,NA
2024-2025,Oct,24,ODISHA,2403,KENDUJHAR,6249090,253.216813088087,33,292,2568.048524407,21915,0,57795,3373755,350233,48153,1689836,209961,215.78974,11326.753156807,100900,143637,250741,450221,1297,315057,538791,79710,8542.9148924,1751137,86,30.28,14.55,99.72,NA
2024-2025,Oct,24,ODISHA,2404,MAYURBHANJ,8254638,256.486678979763,38,300,7110.519487344,52933,0,115227,6373972,593458,57799,3167122,307441,340.86219,23799.770779244,165363,214566,352534,582343,2222,432669,690614,168160,16348.3891019,3326090,86,33.34,7,99.63,NA
2024-2025,Oct,24,ODISHA,2405,BALESHWAR,1870402,259.019705266132,31,139,2194.213999845,17290,0,51801,1316849,203054,44113,88102,18611,150.5697,5755.682098445,42174,56838,160646,269487,83,253446,405805,69091,3410.8983986,655905,78,31.03,4.56,99.68,NA
2024-2025,Oct,24,ODISHA,2406,CUTTACK,1711484,252.080685106185,27,50,1500.898059746,5625,0,17482,428970,58610,46684,26406,10612,104.24425,2686.492824646,15434,21976,121427,237800,55,202107,368009,23107,1081.3505149,199478,67,40.56,16.64,99.7,NA
2024-2025,Oct,24,ODISHA,2412,GANJAM,14591093,231.32228932239,29,192,10617.007191337,23272,0,38110,2896416,433215,101835,166686,27749,455.68284,17772.745830837,96623,109758,403354,581641,533,435296,622154,61382,6700.0557995,1672167,47,41.78,28.96,99.41,NA
2024-2025,Oct,24,ODISHA,2418,KENDRAPARA,1553376,257.115140080139,26,63,414.396272942,6538,0,24026,429754,73392,43074,1243,1295,111.23074,1630.589612042,16222,22021,127921,223697,26,195693,322282,30564,1104.9625991,189462,53,42.7,3.3,99.6,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,255.073431007151,33,109,3829.139307511,9616,2,23054,1114014,136202,33073,183057,34414,127.36462,6798.057659211,33297,44855,137596,244531,303,170882,293339,32670,2841.5537317,579759,63,57.29,8.52,99.79,NA
2024-2025,Oct,24,ODISHA,2429,RAYAGADA,3706833,263.770838451145,38,317,4613.627030815,11018,0,37241,2406139,427826,34242,1507301,123822,153.25899,11113.579035415,62132,85016,124263,201146,1942,154024,241120,48259,6346.69301459999,1172323,59,53.73,11.84,99.29,NA
2024-2025,Oct,24,ODISHA,2402,SUNDARGARH,6992518,253.397927471342,36,337,4029.072121082,19358,0,39030,3829438,319103,30480,2620822,239162,272.66969,14005.458336882,103843,132029,216040,345798,2002,238767,380556,58388,9703.7165258,1883390,75,36.31,33.54,99.7,NA
2024-2025,Oct,24,ODISHA,2406,CUTTACK,1711484,252.005493684221,27,50,1500.838059746,5538,0,17559,421484,57474,46686,25959,10610,104.24425,2667.245144746,15300,21762,121425,237780,54,202113,368004,23097,1062.162835,195685,67,40.9,16.87,99.71,NA
2024-2025,Oct,24,ODISHA,2409,BOLANGIR,6037210,304.102102725306,42,411,7306.35716618999,21448,0,52251,4450510,612935,67566,945503,99949,336.71246,21177.16411819,105507,171389,231336,435475,7463,286431,521546,73699,13534.094492,1945872,75,35.23,49.85,99.67,NA
2024-2025,Oct,24,ODISHA,2413,PURI,1364880,268.201373910574,25,43,919.58882201,12172,0,20843,591596,112405,38724,2918,1020,166.91955,2673.17697201,23574,35670,119053,244633,100,195035,369920,33015,1586.6686,267700,85,32.18,10.7,99.59,NA
2024-2025,Oct,24,ODISHA,2415,JHARSUGUDA,1014845,253.310118411428,32,26,747.216631539001,4636,0,5746,474363,104828,19437,210057,41337,79.17516,2028.001268539,14396,20146,49457,94815,226,63316,115978,10382,1201.609477,231834,64,43.17,18.58,99.76,NA
2024-2025,Oct,24,ODISHA,2419,JAGATSINGHAPUR,1186741,260.099719090358,22,61,1366.739248789,3241,0,10324,318323,38414,24637,822,571,84.03583,2278.732307589,14311,20630,81194,138586,51,123196,198607,13565,827.9572288,133268,53,49.61,5.43,99.55,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,255.395113051217,26,52,1331.769825472,3747,0,9152,330337,30961,16218,21422,8618,67.33305,2242.767430072,12639,17341,66839,123241,98,109205,189773,12899,843.6645546,145497,54,48.79,17.89,99.78,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,269.306161642496,41,158,6481.646848741,11093,0,39091,2869097,435545,41111,1405842,145768,132.72669,14341.028543241,69196,93713,164143,267461,2275,210064,330825,50184,7726.6550045,1314907,73,32.05,29.12,99.33,NA
