fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,24,ODISHA,2407,DHENKANAL,2301881,262.262875117762,30,77,3423.495053872,5597,0,20984,916039,152568,52216,158640,38594,76.22413,5902.149402472,29955,39827,157150,276107,113,200956,346213,26581,2402.4302186,438801,60,38.41,22.84,99.22,NA
2024-2025,July,24,ODISHA,2412,GANJAM,10201814,231.894734929005,22,121,8943.520542084,15279,0,43653,1441859,209194,102887,75337,27995,157.56192,12444.677568184,64312,72010,407238,589614,56,438689,629275,58932,3343.5951061,830671,47,43.68,30.22,99.65,NA
2024-2025,July,24,ODISHA,2414,BARGARH,1700680,292.956896501032,30,85,753.249700275,9935,0,22714,863912,122909,45291,195983,60279,132.38121,3416.520693975,28148,41420,132121,257260,524,188493,343446,32649,2530.8897837,366550,73,45.18,31.54,99.88,NA
2024-2025,July,24,ODISHA,2431,MALKANGIRI,1452487,254.992534919515,32,207,3145.96130217,6390,0,25889,1108406,294112,38509,628334,90605,39.87389,6012.18774877,34151,45253,94604,155095,602,111599,178423,32279,2826.3525566,497358,73,55.81,11.53,99.71,NA
2024-2025,Aug,24,ODISHA,2404,MAYURBHANJ,6111072,256.215547395342,33,259,5908.364525757,38775,0,126733,4989657,460794,57597,2477004,305925,187.30821,18879.949731457,148447,190983,350404,579196,912,430334,687310,165508,12784.2769957,2602879,86,34.52,6.19,99.62,NA
2024-2025,Aug,24,ODISHA,2411,KORAPUT,4770935,265.020731345259,35,409,10751.280518585,13024,0,56847,3089389,431083,46049,1745408,190647,110.23016,19049.032000485,87573,112202,219628,339900,1800,256609,387390,69871,8187.5213219,1432468,64,49.25,19.94,98.71,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,229.13453205742,24,151,8943.520542084,19543,0,40053,1886022,275879,101672,103313,27654,161.78317,13426.831396284,76449,86138,403103,580694,107,434409,620014,59596,4321.5276842,1088577,47,42.48,30.85,98.82,NA
2024-2025,Aug,24,ODISHA,2418,KENDRAPARA,1288720,258.792339201673,23,51,286.954961364,4778,0,25153,327009,55857,43225,878,1297,64.05195,1197.281151864,13854,18768,128170,224490,16,196318,323788,29931,846.2742405,144183,52,45.32,3.57,99.61,NA
2024-2025,Aug,24,ODISHA,2430,NABARANGAPUR,3674427,266.352378420647,36,141,5442.126295779,9384,0,39905,2170167,329610,41011,1044154,146260,61.57784,11283.995555979,59956,80811,163323,267747,1016,209564,332326,49289,5780.2914202,1001883,73,32.75,30.03,99.06,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.913036090404,41,327,7179.268687344,63462,0,75275,7226076,666578,57967,3617901,308758,376.09361,26120.093539144,175959,229426,354115,584844,3145,434782,693668,138737,18564.7312418,3759842,83,35.12,7.84,99.69,NA
2024-2025,Nov,24,ODISHA,2410,KALAHANDI,5892871,311.276044683602,48,332,10041.102931411,24370,0,31062,5335783,1020965,67562,1833040,124813,226.78687,26876.904076711,110451,175325,215791,391223,11264,272924,474499,55432,16609.0142753,2556262,48,26.69,49.49,99.72,NA
2024-2025,Nov,24,ODISHA,2411,KORAPUT,7272987,268.720352698672,45,508,12026.620908416,21598,0,40203,5185588,696553,46021,2969016,189785,233.20187,26194.553141516,113368,147685,220765,339029,6238,257744,385994,61801,13934.7303631,2378366,58,51.61,20.49,99.29,NA
2024-2025,Nov,24,ODISHA,2422,NAYAGARH,2149184,256.530670015967,32,71,3418.01891535001,10534,0,15099,1026483,107307,24553,105804,15233,171.56568,6222.82831285001,31911,47963,112823,227996,165,167379,328841,25633,2633.2437175,476821,69,45.38,19.08,99.71,NA
2024-2025,Nov,24,ODISHA,2423,KHORDHA,1163818,254.321750434023,27,59,1343.083245472,4377,0,8440,417605,38510,16260,28762,8616,74.54109,2479.684681372,15023,20705,67285,124008,172,109399,190089,12817,1062.0603459,186372,53,48.98,16.83,99.86,NA
2024-2025,Nov,24,ODISHA,2426,BOUDH,1514949,255.778425894118,36,34,1804.9760598141,8620,0,10333,1097423,202679,27119,120663,13995,88.06929,4700.01662461411,29993,45985,72262,131473,306,93816,164181,18953,2806.97127480001,504307,77,39.9,20.05,99.51,NA
